Date,Open,High,Low,Close,Adj Close,Volume
2021-11-16,8.890000,8.950000,8.830000,8.930000,8.422136,821300
2021-11-17,8.860000,8.910000,8.810000,8.870000,8.365548,880200
2021-11-18,8.870000,8.940000,8.820000,8.820000,8.318392,970900
2021-11-19,9.280000,9.420000,9.180000,9.290000,8.761662,2514400
2021-11-22,9.300000,9.410000,9.160000,9.180000,8.657919,2576400
2021-11-23,9.010000,9.080000,8.880000,9.030000,8.516450,1049800
2021-11-24,8.960000,9.050000,8.930000,9.030000,8.516450,1048300
2021-11-26,9.000000,9.050000,8.930000,9.030000,8.516450,1669100
2021-11-29,9.020000,9.050000,8.870000,8.870000,8.365548,1338500
2021-11-30,8.870000,8.940000,8.700000,8.830000,8.327825,2987700
2021-12-01,9.010000,9.010000,8.700000,8.700000,8.205216,1278400
2021-12-02,8.920000,9.060000,8.820000,8.840000,8.337255,1467100
2021-12-03,8.960000,9.020000,8.840000,8.920000,8.412705,1236300
2021-12-06,8.850000,8.910000,8.740000,8.760000,8.261805,823900
2021-12-07,8.860000,8.880000,8.760000,8.810000,8.308961,1108800
2021-12-08,8.830000,8.860000,8.680000,8.780000,8.280668,1036500
2021-12-09,8.720000,8.740000,8.470000,8.550000,8.063747,876100
2021-12-10,8.510000,8.740000,8.510000,8.690000,8.195786,512600
2021-12-13,8.600000,8.650000,8.550000,8.580000,8.092043,556100
2021-12-14,8.620000,8.660000,8.470000,8.490000,8.007160,781400
2021-12-15,8.510000,8.530000,8.430000,8.480000,7.997728,689300
2021-12-16,8.520000,8.600000,8.460000,8.550000,8.063747,1475000
2021-12-17,8.590000,8.660000,8.560000,8.590000,8.101472,794800
2021-12-20,8.490000,8.530000,8.420000,8.460000,7.978867,513800
2021-12-21,8.470000,8.530000,8.440000,8.520000,8.035454,599000
2021-12-22,8.530000,8.720000,8.510000,8.690000,8.195786,1470300
2021-12-23,8.710000,8.780000,8.660000,8.760000,8.261805,641600
2021-12-27,8.830000,8.890000,8.760000,8.800000,8.299530,840200
2021-12-28,8.490000,8.530000,8.440000,8.500000,8.243280,504400
2021-12-29,8.500000,8.520000,8.400000,8.430000,8.175396,469300
2021-12-30,8.620000,8.690000,8.590000,8.640000,8.379053,572300
2021-12-31,8.600000,8.680000,8.580000,8.650000,8.388751,419400
2022-01-03,8.480000,8.490000,8.320000,8.350000,8.097813,757800
2022-01-04,8.290000,8.460000,8.280000,8.370000,8.117207,489800
2022-01-05,8.430000,8.550000,8.290000,8.310000,8.059020,1139400
2022-01-06,8.230000,8.310000,8.190000,8.200000,7.952342,646500
2022-01-07,8.170000,8.290000,8.150000,8.280000,8.029925,868700
2022-01-10,8.150000,8.280000,8.100000,8.230000,7.981435,599700
2022-01-11,8.190000,8.380000,8.170000,8.330000,8.078416,2093400
2022-01-12,8.360000,8.490000,8.340000,8.470000,8.214189,827300
2022-01-13,8.430000,8.550000,8.380000,8.510000,8.252980,520400
2022-01-14,8.440000,8.510000,8.420000,8.490000,8.233582,598300
2022-01-18,8.570000,8.630000,8.490000,8.560000,8.301470,579900
2022-01-19,8.820000,8.960000,8.800000,8.930000,8.660295,848900
2022-01-20,9.000000,9.050000,8.920000,8.920000,8.650597,775500
2022-01-21,8.830000,8.940000,8.820000,8.880000,8.611804,855500
2022-01-24,8.800000,8.850000,8.690000,8.770000,8.505128,977400
2022-01-25,8.770000,8.940000,8.740000,8.920000,8.650597,780700
2022-01-26,8.850000,8.930000,8.740000,8.800000,8.534221,1552400
2022-01-27,8.880000,9.020000,8.880000,8.970000,8.699086,575300
2022-01-28,9.040000,9.150000,8.970000,9.130000,8.854255,1044700
2022-01-31,9.160000,9.390000,9.140000,9.380000,9.096704,949600
2022-02-01,9.460000,9.530000,9.400000,9.500000,9.213078,1240700
2022-02-02,9.380000,9.510000,9.350000,9.440000,9.154891,1127200
2022-02-03,9.390000,9.500000,9.390000,9.460000,9.174287,512500
2022-02-04,9.310000,9.360000,9.220000,9.340000,9.057912,571400
2022-02-07,9.190000,9.390000,9.190000,9.340000,9.057912,696100
2022-02-08,9.330000,9.390000,9.290000,9.370000,9.087005,564500
2022-02-09,9.530000,9.680000,9.370000,9.660000,9.368246,1720300
2022-02-10,9.540000,9.610000,9.390000,9.430000,9.145194,1327200
2022-02-11,9.530000,9.720000,9.440000,9.500000,9.213078,1401400
2022-02-14,9.530000,9.620000,9.500000,9.550000,9.261569,482600
2022-02-15,9.610000,9.670000,9.530000,9.550000,9.261569,1098300
2022-02-16,9.600000,9.710000,9.600000,9.660000,9.368246,572600
2022-02-17,9.550000,9.680000,9.500000,9.660000,9.368246,1556800
2022-02-18,9.680000,9.710000,9.600000,9.680000,9.387642,559400
2022-02-22,9.790000,9.880000,9.630000,9.690000,9.397341,1068800
2022-02-23,9.960000,10.060000,9.850000,9.880000,9.581602,678900
2022-02-24,9.590000,9.790000,9.520000,9.770000,9.474925,1163600
2022-02-25,9.650000,9.810000,9.650000,9.750000,9.455527,833700
2022-02-28,9.720000,9.840000,9.650000,9.790000,9.494320,987700
2022-03-01,9.800000,9.930000,9.650000,9.670000,9.377945,843700
2022-03-02,9.490000,9.710000,9.440000,9.640000,9.369198,2358400
2022-03-03,9.790000,9.860000,9.680000,9.720000,9.446950,1644400
2022-03-04,9.500000,9.640000,9.470000,9.610000,9.340040,1064700
2022-03-07,9.570000,9.580000,9.420000,9.460000,9.194253,971000
2022-03-08,9.580000,9.740000,9.560000,9.610000,9.340040,1147100
2022-03-09,9.820000,9.980000,9.790000,9.850000,9.573298,1701800
2022-03-10,9.680000,9.790000,9.630000,9.750000,9.476107,1366400
2022-03-11,9.890000,10.060000,9.790000,9.820000,9.544141,1481000
2022-03-14,9.830000,9.860000,9.670000,9.780000,9.505264,1455500
2022-03-15,9.700000,9.950000,9.680000,9.830000,9.553860,1644000
2022-03-16,9.920000,10.020000,9.840000,10.010000,9.728804,1182100
2022-03-17,10.130000,10.370000,10.080000,10.350000,10.059254,1926700
2022-03-18,10.230000,10.550000,10.210000,10.510000,10.214758,2188900
2022-03-21,10.650000,10.780000,10.480000,10.700000,10.399420,3536300
2022-03-22,10.770000,10.890000,10.660000,10.850000,10.545207,1439900
2022-03-23,10.820000,11.020000,10.810000,10.980000,10.671555,5104100
2022-03-24,11.040000,11.240000,10.940000,10.990000,10.681273,4405900
2022-03-25,11.080000,11.240000,11.070000,11.200000,10.885374,1936600
2022-03-28,11.190000,11.190000,10.970000,11.090000,10.778464,1872300
2022-03-29,11.230000,11.270000,10.990000,11.070000,10.759026,1309300
2022-03-30,11.040000,11.130000,10.980000,11.100000,10.788183,823200
2022-03-31,11.150000,11.320000,11.130000,11.250000,10.933970,1407900
2022-04-01,11.430000,11.640000,11.380000,11.610000,11.314027,15151300
2022-04-04,11.680000,11.720000,11.490000,11.680000,11.382243,3039200
2022-04-05,11.630000,11.780000,11.530000,11.690000,11.391987,1843700
2022-04-06,11.500000,11.730000,11.500000,11.660000,11.362752,1557000
2022-04-07,11.510000,11.550000,11.370000,11.400000,11.109380,2724200
2022-04-08,11.330000,11.420000,11.270000,11.350000,11.060656,1605200
2022-04-11,11.360000,11.420000,11.280000,11.400000,11.109380,1654300
2022-04-12,11.480000,11.520000,11.260000,11.350000,11.060656,1790500
2022-04-13,11.340000,11.470000,11.310000,11.350000,11.060656,1294300
2022-04-14,11.260000,11.390000,11.210000,11.360000,11.070400,699700
2022-04-18,11.380000,11.500000,11.380000,11.410000,11.119125,980500
2022-04-19,11.370000,11.380000,11.260000,11.310000,11.021676,1150400
2022-04-20,11.310000,11.390000,11.160000,11.360000,11.070400,1397100
2022-04-21,11.430000,11.460000,11.180000,11.210000,10.924225,780600
2022-04-22,11.120000,11.150000,10.880000,10.890000,10.612382,1337100
2022-04-25,10.860000,11.010000,10.680000,11.010000,10.729323,3244300
2022-04-26,10.820000,10.900000,10.710000,10.740000,10.466206,3279700
2022-04-27,10.500000,10.500000,10.230000,10.490000,10.471197,7482600
2022-04-28,10.400000,10.640000,10.340000,10.590000,10.571018,2183200
2022-04-29,10.730000,10.810000,10.580000,10.600000,10.581000,1333900
2022-05-02,10.370000,10.450000,10.100000,10.190000,10.190000,1928400
2022-05-03,10.240000,10.450000,10.240000,10.440000,10.440000,1196900
2022-05-04,10.320000,10.690000,10.290000,10.660000,10.660000,1447300
2022-05-05,10.410000,10.430000,10.070000,10.140000,10.140000,978600
2022-05-06,9.910000,10.180000,9.870000,10.020000,10.020000,1592000
2022-05-09,9.880000,10.000000,9.830000,9.860000,9.860000,1987500
2022-05-10,9.930000,10.040000,9.890000,9.910000,9.910000,1751900
2022-05-11,9.750000,9.820000,9.480000,9.510000,9.510000,1954600
2022-05-12,9.550000,9.760000,9.540000,9.730000,9.730000,1361200
2022-05-13,9.690000,9.870000,9.690000,9.760000,9.760000,1370600
2022-05-16,9.760000,9.850000,9.690000,9.800000,9.800000,1016200
2022-05-17,10.050000,10.200000,9.980000,10.110000,10.110000,911800
2022-05-18,10.050000,10.120000,9.940000,10.010000,10.010000,2047600
2022-05-19,10.050000,10.300000,10.050000,10.220000,10.220000,913100
2022-05-20,10.240000,10.340000,10.180000,10.320000,10.320000,1495400
2022-05-23,10.440000,10.820000,10.440000,10.780000,10.780000,1331700
2022-05-24,10.730000,10.820000,10.540000,10.790000,10.790000,1091000
2022-05-25,10.720000,10.950000,10.700000,10.890000,10.890000,964100
2022-05-26,10.810000,11.010000,10.760000,10.900000,10.900000,1253700
2022-05-27,10.830000,10.930000,10.770000,10.890000,10.890000,933000
2022-05-31,10.970000,11.040000,10.720000,10.740000,10.740000,1501300
