Date,Open,High,Low,Close,Adj Close,Volume
2021-11-17,19403.550781,19560.000000,19371.199219,19462.250000,19183.359375,1126
2021-11-18,19158.000000,19470.699219,19158.000000,19400.199219,19122.197266,767
2021-11-22,19400.000000,19500.000000,18850.000000,19005.699219,18733.349609,1085
2021-11-23,19100.000000,19246.050781,18893.250000,19164.000000,18889.382813,1167
2021-11-24,19105.000000,19500.000000,18947.800781,19105.449219,18831.671875,869
2021-11-25,18953.300781,19211.150391,18925.000000,19188.349609,18913.382813,1110
2021-11-26,19149.000000,19430.000000,18987.050781,19210.349609,18935.068359,4503
2021-11-29,19170.000000,19170.000000,18802.000000,19005.750000,18733.400391,1832
2021-11-30,19099.000000,19417.250000,18972.199219,19159.099609,18884.552734,5073
2021-12-01,19258.050781,19438.000000,19182.800781,19388.500000,19110.664063,1572
2021-12-02,19440.000000,19640.000000,19230.150391,19503.949219,19224.458984,4892
2021-12-03,19400.000000,19438.599609,19136.099609,19305.400391,19028.755859,3084
2021-12-06,19480.000000,19480.000000,18925.449219,18993.199219,18721.029297,1962
2021-12-07,19206.599609,19430.000000,18972.099609,19336.099609,19059.015625,10791
2021-12-08,19359.599609,19510.000000,19310.650391,19476.150391,19197.058594,5141
2021-12-09,19532.349609,19554.949219,19175.000000,19283.000000,19006.675781,1645
2021-12-10,19298.949219,19312.449219,19039.000000,19273.449219,18997.263672,2918
2021-12-13,19260.000000,19348.300781,18925.599609,19001.750000,18729.457031,2673
2021-12-14,18926.000000,19314.150391,18925.000000,19197.900391,18922.796875,1599
2021-12-15,19198.000000,19300.000000,19048.099609,19151.349609,18876.912109,1027
2021-12-16,19151.349609,19329.050781,19129.500000,19268.699219,18992.580078,943
2021-12-17,19080.000000,19226.000000,19001.000000,19055.550781,18782.488281,1531
2021-12-20,19074.949219,19254.000000,18606.300781,18893.699219,18622.955078,1988
2021-12-21,19080.000000,19271.449219,18902.599609,19227.699219,18952.167969,1359
2021-12-22,19155.000000,19332.400391,19019.750000,19184.349609,18909.439453,1482
2021-12-23,19237.849609,19296.050781,19158.349609,19207.000000,18931.765625,661
2021-12-24,19214.000000,19425.000000,19170.750000,19218.099609,18942.707031,1054
2021-12-27,19200.000000,19385.349609,19106.949219,19305.750000,19029.101563,536
2021-12-28,19331.599609,19466.949219,19253.050781,19353.099609,19075.771484,1060
2021-12-29,19398.949219,19450.000000,19265.500000,19404.050781,19125.994141,2847
2021-12-30,19405.000000,19582.000000,19323.750000,19399.849609,19121.851563,1308
2021-12-31,19400.000000,19795.000000,19361.599609,19708.550781,19426.126953,929
2022-01-03,19601.050781,19800.000000,19601.050781,19671.000000,19389.117188,1563
2022-01-04,19699.949219,19940.000000,19644.849609,19878.750000,19593.890625,1057
2022-01-05,19999.000000,20025.000000,19867.349609,19925.099609,19639.576172,664
2022-01-06,19843.949219,19910.400391,19547.550781,19647.500000,19365.955078,564
2022-01-07,19680.000000,19953.199219,19596.250000,19923.500000,19637.998047,1412
2022-01-10,19923.500000,19925.349609,19686.800781,19707.050781,19424.650391,1106
