Date,Open,High,Low,Close,Adj Close,Volume
2021-11-17,19404.000000,19565.000000,19363.000000,19477.050781,19197.875000,54276
2021-11-18,19400.000000,19488.800781,19280.050781,19405.500000,19127.351563,41607
2021-11-22,19413.500000,19565.849609,18832.500000,18995.349609,18723.078125,44138
2021-11-23,18996.000000,19246.400391,18904.699219,19181.550781,18906.609375,36960
2021-11-24,19200.000000,19290.000000,18950.000000,19086.900391,18813.316406,34355
2021-11-25,19085.000000,19210.000000,18905.699219,19178.050781,18903.162109,29745
2021-11-26,19148.849609,19434.099609,18982.500000,19222.250000,18946.728516,56441
2021-11-29,19050.000000,19162.300781,18800.000000,19000.400391,18728.056641,48107
2021-11-30,19000.400391,19424.900391,18935.449219,19152.550781,18878.025391,169780
2021-12-01,19210.000000,19449.900391,19161.900391,19397.800781,19119.761719,54812
2021-12-02,19397.800781,19650.000000,19226.750000,19503.199219,19223.648438,48600
2021-12-03,19402.199219,19498.800781,19137.000000,19321.349609,19044.408203,75448
2021-12-06,19400.000000,19415.599609,18929.150391,19016.500000,18743.925781,34927
2021-12-07,19226.000000,19443.650391,18976.000000,19344.250000,19066.976563,70429
2021-12-08,19225.050781,19524.949219,19225.050781,19479.099609,19199.894531,33578
2021-12-09,19500.000000,19549.000000,19162.449219,19284.750000,19008.332031,40522
2021-12-10,19221.000000,19310.000000,19030.449219,19270.250000,18994.037109,39449
2021-12-13,19220.199219,19349.500000,18924.000000,18982.000000,18709.921875,54490
2021-12-14,18953.099609,19322.949219,18913.400391,19238.800781,18963.039063,69067
2021-12-15,19151.050781,19303.099609,19050.000000,19203.099609,18927.849609,64909
2021-12-16,19205.000000,19315.349609,19125.400391,19257.150391,18981.126953,40417
2021-12-17,19115.050781,19233.050781,19000.000000,19079.650391,18806.171875,54278
2021-12-20,19000.000000,19068.199219,18600.000000,18881.250000,18610.615234,71310
2021-12-21,18987.000000,19285.949219,18900.050781,19220.500000,18945.001953,34678
2021-12-22,19230.000000,19339.949219,19012.300781,19190.599609,18915.531250,36612
2021-12-23,19295.000000,19299.949219,19155.000000,19208.550781,18933.222656,47569
2021-12-24,19208.550781,19434.050781,19171.099609,19224.199219,18948.648438,34220
2021-12-27,19186.000000,19400.000000,19099.449219,19302.349609,19025.677734,26588
2021-12-28,19350.000000,19468.550781,19235.000000,19355.000000,19077.574219,21049
2021-12-29,19355.000000,19451.000000,19251.550781,19399.650391,19121.582031,29269
2021-12-30,19390.000000,19585.000000,19323.199219,19406.550781,19128.386719,39868
2021-12-31,19375.000000,19814.949219,19350.199219,19705.699219,19423.246094,39887
2022-01-03,19695.000000,19814.000000,19638.050781,19677.949219,19395.892578,25869
2022-01-04,19678.000000,19947.800781,19628.050781,19889.050781,19603.970703,35034
2022-01-05,19874.000000,20025.000000,19829.099609,19935.750000,19650.001953,32432
2022-01-06,19750.099609,19935.750000,19535.000000,19647.550781,19365.931641,30709
2022-01-07,19650.500000,19960.000000,19587.050781,19902.849609,19617.572266,48983
2022-01-10,19903.000000,19968.900391,19679.050781,19708.000000,19425.511719,20617
2022-01-11,19550.000000,19825.000000,19550.000000,19761.949219,19478.689453,31788
2022-01-12,19850.000000,19850.000000,19660.000000,19707.099609,19424.626953,23711
2022-01-13,19750.000000,19750.000000,19600.000000,19714.400391,19431.824219,35383
2022-01-14,19714.400391,19719.349609,19270.000000,19400.150391,19122.076172,37190
2022-01-17,19400.000000,19515.000000,19111.099609,19333.199219,19056.085938,36403
2022-01-18,19282.000000,19450.000000,19188.000000,19379.599609,19101.820313,36208
