Date,Open,High,Low,Close,Adj Close,Volume
2021-11-16,2.524000,2.543000,2.515000,2.516000,2.360851,5740347
2021-11-17,2.520000,2.549000,2.513000,2.549000,2.391816,4492715
2021-11-18,2.537000,2.550000,2.501000,2.519000,2.363666,3678836
2021-11-19,2.521000,2.528000,2.391000,2.397000,2.249189,7262573
2021-11-22,2.401000,2.470000,2.401000,2.456000,2.304551,6509221
2021-11-23,2.448000,2.462000,2.414000,2.415000,2.266079,3470839
2021-11-24,2.420000,2.440000,2.410000,2.423000,2.273586,4932223
2021-11-25,2.418000,2.421000,2.397000,2.413000,2.264203,3981341
2021-11-26,2.394000,2.402000,2.335000,2.335000,2.191012,4312697
2021-11-29,2.355000,2.370000,2.325000,2.357000,2.211656,4586421
2021-11-30,2.350000,2.376000,2.346000,2.358000,2.212594,10027718
2021-12-01,2.370000,2.399000,2.348000,2.399000,2.251066,3499718
2021-12-02,2.374000,2.378000,2.322000,2.345000,2.200396,4618379
2021-12-03,2.352000,2.358000,2.320000,2.338000,2.193827,4424877
2021-12-06,2.352000,2.363000,2.338000,2.358000,2.212594,2802319
2021-12-07,2.358000,2.358000,2.358000,2.358000,2.212594,0
2021-12-08,2.381000,2.390000,2.371000,2.377000,2.230422,3349211
2021-12-09,2.362000,2.379000,2.346000,2.361000,2.215409,2573074
2021-12-10,2.380000,2.380000,2.331000,2.352000,2.206964,3393465
2021-12-13,2.341000,2.357000,2.332000,2.338000,2.193827,3420586
2021-12-14,2.335000,2.382000,2.330000,2.379000,2.232299,3871687
2021-12-15,2.394000,2.400000,2.363000,2.388000,2.240744,3654322
2021-12-16,2.407000,2.423000,2.384000,2.421000,2.271709,5122439
2021-12-17,2.419000,2.470000,2.418000,2.460000,2.308304,14691130
2021-12-20,2.431000,2.457000,2.419000,2.450000,2.298921,2395484
2021-12-21,2.469000,2.494000,2.459000,2.492000,2.338331,4085069
2021-12-22,2.486000,2.487000,2.424000,2.444000,2.293291,2852505
2021-12-23,2.439000,2.459000,2.435000,2.455000,2.303612,2036138
2021-12-27,2.452000,2.477000,2.451000,2.451000,2.299859,827128
2021-12-28,2.456000,2.473000,2.451000,2.466000,2.313934,1937583
2021-12-29,2.469000,2.480000,2.448000,2.449000,2.297982,1522128
2021-12-30,2.450000,2.452000,2.430000,2.441000,2.290476,1442833
2022-01-03,2.483000,2.484000,2.440000,2.473000,2.320503,2392364
2022-01-04,2.483000,2.490000,2.448000,2.455000,2.303612,3039746
2022-01-05,2.458000,2.478000,2.458000,2.472000,2.319564,2087168
2022-01-06,2.458000,2.471000,2.451000,2.468000,2.315811,2480626
2022-01-07,2.459000,2.462000,2.441000,2.450000,2.298921,1882806
2022-01-10,2.452000,2.482000,2.450000,2.468000,2.315811,2347713
2022-01-11,2.483000,2.502000,2.470000,2.491000,2.337393,2606769
2022-01-12,2.546000,2.561000,2.484000,2.517000,2.361789,4958509
2022-01-13,2.520000,2.531000,2.499000,2.519000,2.363666,2657120
2022-01-14,2.510000,2.521000,2.493000,2.516000,2.360851,4104837
2022-01-17,2.524000,2.534000,2.505000,2.531000,2.374926,1752268
2022-01-18,2.530000,2.562000,2.530000,2.554000,2.396508,2964242
2022-01-19,2.540000,2.589000,2.531000,2.589000,2.429349,3934941
2022-01-20,2.583000,2.596000,2.548000,2.560000,2.402138,2984226
2022-01-21,2.544000,2.579000,2.539000,2.576000,2.417151,3730761
2022-01-24,2.570000,2.625000,2.550000,2.568000,2.409645,5645550
2022-01-25,2.579000,2.596000,2.405000,2.437000,2.286723,8761625
2022-01-26,2.460000,2.522000,2.429000,2.501000,2.346776,4869406
2022-01-27,2.488000,2.534000,2.450000,2.534000,2.377741,3678015
2022-01-28,2.521000,2.571000,2.521000,2.571000,2.412460,3326461
2022-01-31,2.593000,2.597000,2.530000,2.540000,2.383371,3959920
