Date,Open,High,Low,Close,Adj Close,Volume
2021-11-16,3.908500,3.984000,3.899000,3.900000,3.523742,43630864
2021-11-17,3.900000,3.923000,3.875000,3.916000,3.538198,9450597
2021-11-18,3.905500,3.987500,3.900000,3.945500,3.564852,30913830
2021-11-19,3.984000,4.008000,3.908500,3.967500,3.584730,32014850
2021-11-22,4.026500,4.240000,4.024000,4.221000,3.813773,61007552
2021-11-23,4.082500,4.130000,3.995500,4.036500,3.647073,68223881
2021-11-24,4.036500,4.065000,4.010500,4.044000,3.653849,13407113
2021-11-25,4.031000,4.040000,3.989000,4.025000,3.636682,15683593
2021-11-26,3.917500,3.951500,3.850500,3.909000,3.531873,40583950
2021-11-29,3.935000,3.990000,3.903000,3.961500,3.579309,17879112
2021-11-30,3.943000,4.015000,3.920000,3.996500,3.610932,114089723
2021-12-01,3.850000,3.879000,3.790000,3.840000,3.602956,21800130
2021-12-02,3.786500,3.797500,3.690000,3.690000,3.462216,77086793
2021-12-03,3.702500,3.706000,3.652500,3.669500,3.442981,55836355
2021-12-06,3.710000,3.780500,3.689500,3.762500,3.530241,18024424
2021-12-07,3.780000,3.787000,3.735500,3.763000,3.530710,16503532
2021-12-08,3.740000,3.758000,3.708000,3.709000,3.480043,12433783
2021-12-09,3.702500,3.723000,3.684000,3.695500,3.467376,10909475
2021-12-10,3.686000,3.724500,3.659000,3.724500,3.494586,10050851
2021-12-13,3.713000,3.730000,3.672000,3.692000,3.464092,58573358
2021-12-14,3.700000,3.870500,3.695500,3.855000,3.617031,20356978
2021-12-15,3.850000,3.868500,3.816500,3.835500,3.598734,42506177
2021-12-16,3.854000,3.854500,3.751500,3.823000,3.587006,15701888
2021-12-17,3.819000,3.855500,3.789500,3.855500,3.617500,68831144
2021-12-20,3.791000,3.850500,3.772000,3.829500,3.593105,11592614
2021-12-21,3.855000,3.940000,3.839000,3.875000,3.635796,40856876
2021-12-22,3.861500,3.887000,3.842500,3.887000,3.647055,7076025
2021-12-23,3.881500,3.923000,3.876000,3.901500,3.660660,12763647
2021-12-27,3.855000,3.928500,3.853500,3.901500,3.660660,9155871
2021-12-28,3.886000,3.957500,3.885000,3.931500,3.688808,11021290
2021-12-29,3.912000,3.930000,3.900500,3.915000,3.673327,13893950
2021-12-30,3.889000,3.890000,3.844500,3.852000,3.614216,17050331
2022-01-03,3.839000,3.871500,3.812000,3.855500,3.617500,9397830
2022-01-04,3.863000,3.899500,3.827500,3.850500,3.612808,13579849
2022-01-05,3.843000,3.866000,3.809000,3.845500,3.608117,17672955
2022-01-06,3.815000,3.910500,3.810500,3.905500,3.664413,13530273
2022-01-07,3.909000,3.914500,3.873500,3.909000,3.667697,13768542
2022-01-10,3.913000,4.073500,3.901000,4.024000,3.775598,21964788
2022-01-11,4.001000,4.023000,3.960500,3.983000,3.737129,12014527
2022-01-12,3.980000,3.988000,3.947500,3.976000,3.730561,36460355
2022-01-13,3.980000,4.018000,3.943500,4.018000,3.769969,9447824
2022-01-14,4.001000,4.032000,3.966000,4.032000,3.783104,11763169
2022-01-17,4.029500,4.041000,3.993500,4.005000,3.757771,12208153
2022-01-18,3.988500,4.086500,3.985500,4.065000,3.814067,16998325
2022-01-19,4.022500,4.080000,4.017000,4.027500,3.778882,14726296
2022-01-20,4.018000,4.038500,3.989000,4.013000,3.765277,18851169
2022-01-21,3.967000,4.026500,3.950000,4.003500,3.756364,20573990
2022-01-24,4.000000,4.143500,3.989000,4.022000,3.773722,38960962
2022-01-25,4.030500,4.099000,3.981000,4.094500,3.841746,18325471
2022-01-26,4.100000,4.146000,4.084500,4.095000,3.842215,16991410
2022-01-27,4.084500,4.182500,4.078000,4.147000,3.891006,20007345
2022-01-28,4.155000,4.180000,4.117000,4.163000,3.906018,17181478
2022-01-31,4.200000,4.232000,4.120000,4.128500,3.873647,21495761
2022-02-01,4.157500,4.157500,4.072000,4.098000,3.845030,14823279
2022-02-02,4.104500,4.157500,4.084500,4.141000,3.885376,10912741
2022-02-03,4.147000,4.221000,4.132000,4.189500,3.930882,15163346
2022-02-04,4.201000,4.222500,4.137000,4.164000,3.906956,15666530
2022-02-07,4.183500,4.216500,4.122500,4.192000,3.933228,22077867
2022-02-08,4.216000,4.312500,4.213000,4.298000,4.032684,28284521
2022-02-09,4.303000,4.372000,4.247000,4.352500,4.083820,17437474
2022-02-10,4.360500,4.433000,4.310000,4.398000,4.126511,16675947
2022-02-11,4.372000,4.446000,4.366500,4.419000,4.146215,20276526
2022-02-14,4.360000,4.406500,4.320000,4.379000,4.108684,20571937
2022-02-15,4.347000,4.413000,4.339500,4.413000,4.140585,16477702
2022-02-16,4.392500,4.426000,4.362500,4.384000,4.113375,10985380
2022-02-17,4.358000,4.410000,4.327500,4.361500,4.092264,12972001
2022-02-18,4.360500,4.410000,4.332000,4.369000,4.099301,9833913
2022-02-21,4.347000,4.380000,4.283500,4.302500,4.036906,14958859
2022-02-22,4.216500,4.284000,4.180000,4.264000,4.000783,22144391
2022-02-23,4.255000,4.291500,4.221000,4.241500,3.979672,14089767
2022-02-24,4.126000,4.292500,4.101000,4.166500,3.909302,34337162
2022-02-25,4.142500,4.289000,4.111500,4.250000,3.987647,28792075
2022-02-28,4.210000,4.300000,4.173500,4.276000,4.012043,26216179
2022-03-01,4.270000,4.362000,4.230500,4.247500,3.985301,22280528
2022-03-02,4.193000,4.336000,4.174000,4.313500,4.047227,26487839
2022-03-03,4.294500,4.308000,4.170000,4.188000,3.929475,18206213
2022-03-04,4.179500,4.193500,3.932000,3.960500,3.716018,24984769
2022-03-07,3.860000,3.916500,3.728000,3.887000,3.647055,22526710
2022-03-08,4.021500,4.037500,3.852500,3.855500,3.617500,25890531
2022-03-09,3.918000,3.989500,3.905000,3.969500,3.724463,19394951
2022-03-10,3.986500,4.027500,3.925500,4.002000,3.754956,20532832
2022-03-11,4.005500,4.071000,3.955500,3.988500,3.742290,15201428
2022-03-14,4.030000,4.068000,3.996500,4.014000,3.766215,20657344
2022-03-15,3.990000,4.050000,3.971000,4.041000,3.791549,13867758
2022-03-16,4.084000,4.128000,4.037500,4.108500,3.854882,21987288
2022-03-17,4.138000,4.197000,4.102500,4.190000,3.931351,18770973
2022-03-18,4.189000,4.197000,4.108000,4.171000,3.913524,62065212
2022-03-21,4.150000,4.219000,4.133500,4.186000,3.927598,14512128
2022-03-22,4.220000,4.258500,4.185000,4.245000,3.982956,9128815
2022-03-23,4.255000,4.260000,4.185000,4.191500,3.932759,14436441
2022-03-24,4.201500,4.229500,4.163000,4.203000,3.943549,8926154
2022-03-25,4.165000,4.239500,4.165000,4.239500,3.977796,17181885
2022-03-28,4.246000,4.383000,4.242500,4.314000,4.047697,14229721
2022-03-29,4.327000,4.410500,4.315000,4.356000,4.087104,15124860
2022-03-30,4.394000,4.412000,4.342500,4.412000,4.139647,10565189
2022-03-31,4.401000,4.432500,4.358000,4.388500,4.117598,12829772
2022-04-01,4.380000,4.424000,4.367000,4.417000,4.144338,9798232
2022-04-04,4.425000,4.436000,4.380000,4.436000,4.162165,11324858
2022-04-05,4.436000,4.497000,4.418000,4.497000,4.219400,11005030
2022-04-06,4.488000,4.542000,4.464000,4.542000,4.261621,17158072
2022-04-07,4.522000,4.612000,4.505000,4.550000,4.269128,12804902
2022-04-08,4.589000,4.630000,4.566000,4.627000,4.341375,12517848
2022-04-11,4.612000,4.693000,4.599000,4.678000,4.389226,13732620
2022-04-12,4.656000,4.827000,4.638000,4.822000,4.524338,21301436
2022-04-13,4.825000,4.953000,4.822000,4.938000,4.633177,21461077
2022-04-14,4.950000,5.000000,4.892000,4.996000,4.687596,20339986
2022-04-19,4.990000,5.000000,4.908000,4.943000,4.637868,18973193
2022-04-20,4.910000,4.937000,4.853000,4.885000,4.583449,26371879
2022-04-21,4.895000,4.932000,4.834000,4.839000,4.540288,20486149
2022-04-22,4.807000,4.900000,4.777000,4.845000,4.545918,11611595
2022-04-25,4.799000,4.866000,4.767000,4.798000,4.501819,21234440
2022-04-26,4.858000,4.884000,4.742000,4.746000,4.453029,15995577
2022-04-27,4.739000,4.743000,4.670000,4.694000,4.404239,16137288
2022-04-28,4.694000,4.703000,4.630000,4.703000,4.412683,13419656
